Ensembl	logFC	FDR	SYMBOL	Significance
ENSG00000107186	-0.2193184	0.262510999	MPDZ	Non
ENSG00000189164	-0.260205295	0.262510999	ZNF527	Non
ENSG00000160293	0.253891212	0.263073348	VAV2	Non
ENSG00000139180	-0.205824513	0.263347711	NDUFA9	Non
ENSG00000173272	0.450539043	0.26336035	MZT2A	Non
ENSG00000108830	0.32091181	0.263491275	RND2	Non
ENSG00000172059	0.38328255	0.263588568	KLF11	Non
ENSG00000121671	0.319694664	0.263630839	CRY2	Non
ENSG00000170542	0.297668789	0.263963641	SERPINB9	Non
ENSG00000166471	-0.213557104	0.26396561	TMEM41B	Non
ENSG00000178741	-0.276106384	0.26396561	COX5A	Non
ENSG00000124279	-0.314058217	0.264116956	FASTKD3	Non
ENSG00000182325	0.662772799	0.264129987	FBXL6	Non
ENSG00000116663	0.569356389	0.264215567	FBXO6	Non
ENSG00000111731	-0.240355545	0.264215567	C2CD5	Non
ENSG00000108433	0.209933946	0.264215567	GOSR2	Non
ENSG00000134802	0.521890777	0.26445979	SLC43A3	Non
ENSG00000173621	0.789518407	0.264894805	LRFN4	Non
ENSG00000143443	0.547592925	0.264935239	C1orf56	Non
ENSG00000095485	-0.276026512	0.265030949	CWF19L1	Non
ENSG00000166159	0.298734562	0.265030949	LRTM2	Non
ENSG00000010818	-0.237988083	0.265060034	HIVEP2	Non
ENSG00000135124	0.325734525	0.265167797	P2RX4	Non
ENSG00000100575	-0.295502876	0.265173195	TIMM9	Non
ENSG00000125450	0.271418615	0.265491454	NUP85	Non
ENSG00000196381	-0.297136904	0.265491454	ZNF781	Non
ENSG00000112964	0.310842569	0.265580223	GHR	Non
ENSG00000010404	0.50842643	0.265580223	IDS	Non
ENSG00000165283	-0.307868741	0.265580223	STOML2	Non
ENSG00000182379	0.680397763	0.265580223	NXPH4	Non
ENSG00000150347	0.218062313	0.265677606	ARID5B	Non
ENSG00000154118	0.288963339	0.265989815	JPH3	Non
ENSG00000125656	0.351322066	0.266085191	CLPP	Non
ENSG00000118007	-0.279789504	0.266204308	STAG1	Non
ENSG00000125875	0.231302315	0.266274337	TBC1D20	Non
ENSG00000097033	-0.218989453	0.266371655	SH3GLB1	Non
ENSG00000144021	-0.198320394	0.266371655	CIAO1	Non
ENSG00000124508	0.340090723	0.266437808	BTN2A2	Non
ENSG00000165948	0.327314785	0.266580568	IFI27L1	Non
ENSG00000167670	0.324981895	0.266785907	CHAF1A	Non
ENSG00000178057	0.575900145	0.266910012	NDUFAF3	Non
ENSG00000126062	0.547030737	0.266932756	TMEM115	Non
ENSG00000114126	-0.19243446	0.266932756	TFDP2	Non
ENSG00000181751	-0.219796226	0.266932756	C5orf30	Non
ENSG00000162188	-0.382976194	0.266979612	GNG3	Non
ENSG00000179965	0.418944031	0.267023056	ZNF771	Non
ENSG00000249471	0.448678072	0.267138002	ZNF324B	Non
ENSG00000169432	-0.302307123	0.267192217	SCN9A	Non
ENSG00000240682	0.386416249	0.267395512	ISY1	Non
ENSG00000136051	-0.239745777	0.267467799	WASHC4	Non
ENSG00000100804	-0.306361179	0.267467799	PSMB5	Non
ENSG00000104974	0.423004637	0.267510665	LILRA1	Non
ENSG00000156802	-0.285102955	0.267523941	ATAD2	Non
ENSG00000254087	0.324387225	0.267526913	LYN	Non
ENSG00000165113	-0.374516987	0.267615767	GKAP1	Non
ENSG00000105088	0.361529905	0.267682374	OLFM2	Non
ENSG00000163382	0.392570081	0.26778117	NAXE	Non
ENSG00000254245	0.324057029	0.268079441	PCDHGA3	Non
ENSG00000119138	0.250209908	0.268222484	KLF9	Non
ENSG00000116001	-0.225228468	0.268271138	TIA1	Non
ENSG00000126749	0.255409006	0.268271138	EMG1	Non
ENSG00000129484	-0.231548686	0.268271138	PARP2	Non
ENSG00000075702	0.514406612	0.268271138	WDR62	Non
ENSG00000162775	0.220726727	0.268306337	RBM15	Non
ENSG00000152104	0.226850868	0.268355824	PTPN14	Non
ENSG00000087111	0.305963441	0.268375201	PIGS	Non
ENSG00000179455	0.314702274	0.268426685	MKRN3	Non
ENSG00000087510	0.61445003	0.268686323	TFAP2C	Non
ENSG00000151657	-0.246483489	0.268811917	KIN	Non
ENSG00000170681	-0.376161807	0.268843164	CAVIN4	Non
ENSG00000158411	-0.278827908	0.269376426	MITD1	Non
ENSG00000182957	0.215178695	0.269720207	SPATA13	Non
ENSG00000183814	-0.403510265	0.269753405	LIN9	Non
ENSG00000021300	0.207827427	0.269784743	PLEKHB1	Non
ENSG00000130066	-0.222226741	0.269890437	SAT1	Non
ENSG00000235162	-0.415649939	0.269890748	C12orf75	Non
ENSG00000204604	-0.311023391	0.270012368	ZNF468	Non
ENSG00000243244	0.465835198	0.270096857	STON1	Non
ENSG00000131149	0.243041424	0.270164715	GSE1	Non
ENSG00000256229	-0.337104004	0.270164715	ZNF486	Non
ENSG00000175575	0.21646637	0.270544296	PAAF1	Non
ENSG00000131019	-0.403598913	0.270546551	ULBP3	Non
ENSG00000105963	0.859033646	0.270598976	ADAP1	Non
ENSG00000132953	-0.192993884	0.270598976	XPO4	Non
ENSG00000144224	-0.210879385	0.270630935	UBXN4	Non
ENSG00000169084	0.308236045	0.270630935	DHRSX	Non
ENSG00000198752	0.18111971	0.270630935	CDC42BPB	Non
ENSG00000159917	-0.255925627	0.270742906	ZNF235	Non
ENSG00000124479	0.289130273	0.270764418	NDP	Non
ENSG00000102871	0.432059258	0.270812407	TRADD	Non
ENSG00000159337	0.55045789	0.270843613	PLA2G4D	Non
ENSG00000148229	-0.284990837	0.270904134	POLE3	Non
ENSG00000196335	-0.438953062	0.270964672	STK31	Non
ENSG00000087095	-0.206728096	0.270964672	NLK	Non
ENSG00000171161	0.424903575	0.271031783	ZNF672	Non
ENSG00000158158	0.315013189	0.271031783	CNNM4	Non
ENSG00000121966	-0.529226417	0.271031783	CXCR4	Non
ENSG00000067221	0.570984991	0.271075331	STOML1	Non
ENSG00000111554	-0.290149138	0.271267809	MDM1	Non
ENSG00000166548	0.258397686	0.271322972	TK2	Non
ENSG00000144229	-0.355339357	0.271367627	THSD7B	Non
ENSG00000180596	-0.272113936	0.271449266	H2BC4	Non
ENSG00000070540	0.284359514	0.271730806	WIPI1	Non
ENSG00000118058	0.186124999	0.271881361	KMT2A	Non
ENSG00000144674	-0.315252836	0.271904253	GOLGA4	Non
ENSG00000151131	-0.198058953	0.272071212	C12orf45	Non
ENSG00000176435	0.354573043	0.2725095	CLEC14A	Non
ENSG00000151726	0.226547703	0.272676969	ACSL1	Non
ENSG00000172031	-0.481072377	0.272708962	EPHX4	Non
ENSG00000112183	-0.283480348	0.272821293	RBM24	Non
ENSG00000157224	-0.231447431	0.27282692	CLDN12	Non
ENSG00000118495	0.262480989	0.273224193	PLAGL1	Non
ENSG00000011009	0.549277063	0.273307629	LYPLA2	Non
ENSG00000059804	-0.277439148	0.273419146	SLC2A3	Non
ENSG00000173598	-0.268135087	0.273513122	NUDT4	Non
ENSG00000126247	0.259562604	0.27352001	CAPNS1	Non
ENSG00000183172	0.343129336	0.273646809	SMDT1	Non
ENSG00000115946	-0.324705755	0.273669655	PNO1	Non
ENSG00000132406	-0.312465374	0.27384214	TMEM128	Non
ENSG00000120256	0.314936663	0.27384214	LRP11	Non
ENSG00000132603	-0.281386328	0.27384214	NIP7	Non
ENSG00000001036	-0.272370598	0.274099419	FUCA2	Non
ENSG00000110721	0.215047016	0.274099419	CHKA	Non
ENSG00000107815	0.329128167	0.274174075	TWNK	Non
ENSG00000186081	1.032689568	0.274426316	KRT5	Non
ENSG00000184788	-0.345690782	0.274432264	SATL1	Non
ENSG00000185482	0.412813007	0.274489153	STAC3	Non
ENSG00000139915	-0.229306661	0.274586164	MDGA2	Non
ENSG00000157653	0.450387979	0.274746304	C9orf43	Non
ENSG00000086589	-0.201454266	0.274797917	RBM22	Non
ENSG00000140945	-0.310860402	0.27481281	CDH13	Non
ENSG00000224982	0.675526756	0.274948352	TMEM233	Non
ENSG00000186448	-0.253264874	0.275003185	ZNF197	Non
ENSG00000162909	0.186413668	0.275106223	CAPN2	Non
ENSG00000175137	0.306934457	0.275106223	SH3BP5L	Non
ENSG00000128228	0.505382129	0.275397731	SDF2L1	Non
ENSG00000015475	-0.331828158	0.275666839	BID	Non
ENSG00000128563	0.215862244	0.275792423	PRKRIP1	Non
ENSG00000102359	-0.427179394	0.275997455	SRPX2	Non
ENSG00000168300	-0.253512196	0.275997455	PCMTD1	Non
ENSG00000184281	0.675134101	0.275997455	TSSC4	Non
ENSG00000148468	0.264839561	0.275997455	FAM171A1	Non
ENSG00000080371	-0.218000103	0.276005459	RAB21	Non
ENSG00000106772	0.195891726	0.276036323	PRUNE2	Non
ENSG00000132535	0.407212329	0.276233587	DLG4	Non
ENSG00000176108	0.524012628	0.276236673	CHMP6	Non
ENSG00000135205	-0.369280585	0.276419024	CCDC146	Non
ENSG00000162769	-0.24339712	0.277013071	FLVCR1	Non
ENSG00000145741	-0.207682238	0.277335406	BTF3	Non
ENSG00000130119	0.211350221	0.277335406	GNL3L	Non
ENSG00000074842	0.38075549	0.277335406	MYDGF	Non
ENSG00000242372	0.489792733	0.27760375	EIF6	Non
ENSG00000152082	0.692116362	0.277654877	MZT2B	Non
ENSG00000256294	-0.2815757	0.277654877	ZNF225	Non
ENSG00000133997	-0.218485436	0.277672987	MED6	Non
ENSG00000105819	-0.245000913	0.277689796	PMPCB	Non
ENSG00000119333	0.607738607	0.277689796	WDR34	Non
ENSG00000166046	0.264642329	0.27777708	TCP11L2	Non
ENSG00000168824	-0.253331062	0.277874806	NSG1	Non
ENSG00000121691	0.220820246	0.278005914	CAT	Non
ENSG00000148488	-0.353503049	0.278077732	ST8SIA6	Non
ENSG00000130939	0.176249024	0.278236846	UBE4B	Non
ENSG00000186376	-0.231529205	0.278236846	ZNF75D	Non
ENSG00000254469	0.348846533	0.278236846	NA	Non
ENSG00000150779	-0.342976668	0.278236846	TIMM8B	Non
ENSG00000059915	0.543195515	0.278236846	PSD	Non
ENSG00000111581	-0.258670653	0.278236846	NUP107	Non
ENSG00000135108	-0.201017053	0.278236846	FBXO21	Non
ENSG00000134007	0.283285877	0.278262144	ADAM20	Non
ENSG00000114646	-0.270230063	0.278351679	CSPG5	Non
ENSG00000143862	0.236919262	0.278364482	ARL8A	Non
ENSG00000109099	0.215628374	0.278586893	PMP22	Non
ENSG00000115657	0.49250412	0.278852462	ABCB6	Non
ENSG00000100228	0.371191375	0.278852462	RAB36	Non
ENSG00000056972	0.278069087	0.27886797	TRAF3IP2	Non
ENSG00000242110	-0.44028819	0.27904898	AMACR	Non
ENSG00000102230	-0.191424746	0.27904898	PCYT1B	Non
ENSG00000188033	0.233914896	0.27904898	ZNF490	Non
ENSG00000179218	0.21552703	0.27904898	CALR	Non
ENSG00000110422	-0.193517481	0.279087744	HIPK3	Non
ENSG00000170191	-0.358737829	0.279087744	NANP	Non
ENSG00000130810	0.610535543	0.279228767	PPAN	Non
ENSG00000169047	0.238451579	0.279315597	IRS1	Non
ENSG00000213762	-0.201817453	0.279539569	ZNF134	Non
ENSG00000100354	0.186320202	0.279539569	TNRC6B	Non
ENSG00000009413	-0.211927399	0.279608426	REV3L	Non
ENSG00000048342	-0.255300003	0.279609562	CC2D2A	Non
ENSG00000213523	0.26352322	0.279609562	SRA1	Non
ENSG00000106868	-0.234411322	0.279762765	SUSD1	Non
ENSG00000148331	0.310260798	0.279816121	ASB6	Non
ENSG00000167747	0.636752782	0.27982918	C19orf48	Non
ENSG00000117174	-0.224672294	0.279836964	ZNHIT6	Non
ENSG00000149256	0.279253873	0.279890077	TENM4	Non
ENSG00000148335	0.325385981	0.280072851	NTMT1	Non
ENSG00000196502	0.296825532	0.280072851	SULT1A1	Non
ENSG00000101911	-0.258581512	0.280191723	PRPS2	Non
ENSG00000111266	0.215602474	0.280202426	DUSP16	Non
ENSG00000138185	-0.278513862	0.280212471	ENTPD1	Non
ENSG00000139155	-0.284845016	0.280212471	SLCO1C1	Non
ENSG00000169750	0.566242412	0.28023144	RAC3	Non
ENSG00000152223	0.199093542	0.280575148	EPG5	Non
ENSG00000162981	-0.20350485	0.280720654	LRATD1	Non
ENSG00000161533	-0.187296022	0.280720654	ACOX1	Non
ENSG00000038210	-0.347635679	0.280794544	PI4K2B	Non
ENSG00000170734	0.241608917	0.280794544	POLH	Non
ENSG00000105499	0.322168667	0.280824747	PLA2G4C	Non
ENSG00000171094	0.359973591	0.281052039	ALK	Non
ENSG00000123338	0.300440442	0.281052039	NCKAP1L	Non
ENSG00000065526	0.216611144	0.281061445	SPEN	Non
ENSG00000171492	-0.219764602	0.281217361	LRRC8D	Non
ENSG00000121440	0.264449633	0.28159996	PDZRN3	Non
ENSG00000129460	-0.249536038	0.28159996	NGDN	Non
ENSG00000162961	-0.281277424	0.281696264	DPY30	Non
ENSG00000112769	-0.23808786	0.281696264	LAMA4	Non
ENSG00000213551	-0.249998915	0.281696264	DNAJC9	Non
ENSG00000287725	0.415968553	0.281726488	TPCN2	Non
ENSG00000153012	-0.383207444	0.281861338	LGI2	Non
ENSG00000115556	0.344485596	0.281930891	PLCD4	Non
ENSG00000169918	0.206054042	0.282012162	OTUD7A	Non
ENSG00000149089	-0.336672621	0.282054311	APIP	Non
ENSG00000148700	-0.232546734	0.282054311	ADD3	Non
ENSG00000174718	-0.256892547	0.282090789	RESF1	Non
ENSG00000278845	-0.253723446	0.282095529	MRPL45	Non
ENSG00000131115	-0.27109713	0.282095529	ZNF227	Non
ENSG00000205423	-0.282433127	0.282254296	CNEP1R1	Non
ENSG00000267041	-0.361555979	0.282918846	ZNF850	Non
ENSG00000139154	-0.234516986	0.282952123	AEBP2	Non
ENSG00000056291	-0.724846898	0.283103417	NPFFR2	Non
ENSG00000283154	0.28380008	0.283299892	SCHIP1	Non
ENSG00000163888	0.480357593	0.283299892	CAMK2N2	Non
ENSG00000136827	-0.254469604	0.283299892	TOR1A	Non
ENSG00000137338	-0.248376459	0.283555635	PGBD1	Non
ENSG00000188191	0.275837502	0.283628321	PRKAR1B	Non
ENSG00000164591	0.507934374	0.283725505	MYOZ3	Non
ENSG00000198034	-0.233578186	0.283830654	RPS4X	Non
ENSG00000169813	0.228710075	0.283850205	HNRNPF	Non
ENSG00000166189	0.600142496	0.283942135	HPS6	Non
ENSG00000138744	-0.33840895	0.28395008	NAAA	Non
ENSG00000162521	-0.188036532	0.283963588	RBBP4	Non
ENSG00000109458	0.226235314	0.284049605	GAB1	Non
ENSG00000159753	0.344916542	0.284256511	CARMIL2	Non
ENSG00000101346	0.239866294	0.284657319	POFUT1	Non
ENSG00000078098	0.520039573	0.284700269	FAP	Non
ENSG00000123200	-0.273094577	0.284885219	ZC3H13	Non
ENSG00000130770	-0.200757922	0.284958038	ATP5IF1	Non
ENSG00000028116	-0.278711245	0.285023303	VRK2	Non
ENSG00000198556	0.270448108	0.285130491	ZNF789	Non
ENSG00000085978	-0.205050018	0.285219268	ATG16L1	Non
ENSG00000132570	0.281306418	0.285269427	PCBD2	Non
ENSG00000176293	0.221236924	0.285269427	ZNF135	Non
ENSG00000170959	-0.33988376	0.285313374	DCDC1	Non
ENSG00000170364	-0.250440003	0.28581639	SETMAR	Non
ENSG00000154162	-0.268339861	0.285934748	CDH12	Non
ENSG00000126016	0.193666292	0.285999981	AMOT	Non
ENSG00000253159	0.265887603	0.286175586	PCDHGA12	Non
ENSG00000128789	-0.255056532	0.286201145	PSMG2	Non
ENSG00000131188	0.755806985	0.286229138	PRR7	Non
ENSG00000134899	0.418370933	0.286545801	ERCC5	Non
ENSG00000197808	-0.256762814	0.286632809	ZNF461	Non
ENSG00000109065	0.381866208	0.2869978	NAT9	Non
ENSG00000188981	0.411585082	0.287012917	MSANTD1	Non
ENSG00000187720	0.342125318	0.287028634	THSD4	Non
ENSG00000175175	-0.344143925	0.287028634	PPM1E	Non
ENSG00000197748	-0.345717589	0.287143226	CFAP43	Non
ENSG00000176171	-0.260517574	0.287632919	BNIP3	Non
ENSG00000140961	0.467895619	0.287794926	OSGIN1	Non
ENSG00000082014	0.336590077	0.287952628	SMARCD3	Non
ENSG00000102158	0.221876209	0.287952628	MAGT1	Non
ENSG00000166432	-0.2560239	0.28826593	ZMAT1	Non
ENSG00000144230	0.50842356	0.288329256	GPR17	Non
ENSG00000232859	-0.289859711	0.288402356	LYRM9	Non
ENSG00000185803	0.650450526	0.288404695	SLC52A2	Non
ENSG00000100918	0.44115911	0.288407292	REC8	Non
ENSG00000145217	0.480623404	0.288448108	SLC26A1	Non
ENSG00000273703	0.4938385	0.288473366	H2BC14	Non
ENSG00000183496	-0.351090604	0.288605845	MEX3B	Non
ENSG00000087250	0.367374531	0.288648384	MT3	Non
ENSG00000181789	-0.193551039	0.288728442	COPG1	Non
ENSG00000132424	-0.253703148	0.288940909	PNISR	Non
ENSG00000155229	0.229994063	0.288974073	MMS19	Non
ENSG00000260903	0.366129023	0.288979703	XKR7	Non
ENSG00000134864	0.442577953	0.289174313	GGACT	Non
ENSG00000131724	0.320497893	0.289396364	IL13RA1	Non
ENSG00000123104	-0.277331971	0.289716085	ITPR2	Non
ENSG00000171970	-0.336725423	0.289716085	ZNF57	Non
ENSG00000065357	0.257935543	0.289763292	DGKA	Non
ENSG00000002834	0.200977736	0.289772146	LASP1	Non
ENSG00000154781	-0.282619209	0.289788511	CCDC174	Non
ENSG00000101751	-0.242642749	0.289811893	POLI	Non
ENSG00000142634	0.29585487	0.289934965	EFHD2	Non
ENSG00000203772	0.562397814	0.289959108	SPRN	Non
ENSG00000166025	0.211552398	0.289998105	AMOTL1	Non
ENSG00000178201	0.37203756	0.289998105	VN1R1	Non
ENSG00000183831	-0.440121238	0.290079037	ANKRD45	Non
ENSG00000186187	0.285823707	0.290097322	ZNRF1	Non
ENSG00000167525	0.439342586	0.290097322	PROCA1	Non
ENSG00000172197	-0.45221104	0.290119506	MBOAT1	Non
ENSG00000176490	-0.266873373	0.290119506	DIRAS1	Non
ENSG00000143748	-0.252420386	0.290176234	NVL	Non
ENSG00000165966	-0.306056678	0.290176234	PDZRN4	Non
ENSG00000237289	-0.238110673	0.290176234	CKMT1B	Non
ENSG00000125901	0.395532158	0.290176234	MRPS26	Non
ENSG00000164758	-0.334872054	0.290218669	MED30	Non
ENSG00000215717	-0.195042718	0.290438717	TMEM167B	Non
ENSG00000157514	0.206230354	0.290438717	TSC22D3	Non
ENSG00000105483	0.27350154	0.290438717	CARD8	Non
ENSG00000164099	-0.360208286	0.290606063	PRSS12	Non
ENSG00000167700	0.800650079	0.290606063	MFSD3	Non
ENSG00000152315	0.4981552	0.290665129	KCNK13	Non
ENSG00000140470	0.349257941	0.290862531	ADAMTS17	Non
ENSG00000204178	-0.22530194	0.290919197	MACO1	Non
ENSG00000115738	-0.23413464	0.290919197	ID2	Non
ENSG00000127084	0.400721052	0.290919197	FGD3	Non
ENSG00000197562	0.515960471	0.290919197	RAB40C	Non
ENSG00000145331	-0.353482264	0.291021483	TRMT10A	Non
ENSG00000139278	-0.375726331	0.291021483	GLIPR1	Non
ENSG00000244462	-0.199516879	0.291021483	RBM12	Non
ENSG00000007376	0.605123716	0.291391112	RPUSD1	Non
ENSG00000115652	-0.262303221	0.291409976	UXS1	Non
ENSG00000087589	0.390163759	0.291446886	CASS4	Non
ENSG00000143507	0.271394224	0.29158735	DUSP10	Non
ENSG00000102003	-0.268871609	0.291741277	SYP	Non
ENSG00000154764	0.436250197	0.291783409	WNT7A	Non
ENSG00000070729	0.253074733	0.29199527	CNGB1	Non
ENSG00000137310	0.459097199	0.292205354	TCF19	Non
ENSG00000267127	0.392956611	0.292432733	NA	Non
ENSG00000185164	0.300700816	0.292471679	NOMO2	Non
ENSG00000117481	0.240917179	0.292474629	NSUN4	Non
ENSG00000165995	-0.206323228	0.292474629	CACNB2	Non
ENSG00000164171	0.368997855	0.292520358	ITGA2	Non
ENSG00000175105	-0.211594418	0.29263369	ZNF654	Non
ENSG00000093167	-0.251315971	0.292785692	LRRFIP2	Non
ENSG00000242419	0.382256068	0.292785692	PCDHGC4	Non
ENSG00000166405	-0.188557226	0.292785692	RIC3	Non
ENSG00000102796	0.494878845	0.292785692	DHRS12	Non
ENSG00000178802	0.288507575	0.292785692	MPI	Non
ENSG00000157600	0.270575488	0.292791487	TMEM164	Non
ENSG00000176601	-0.594903875	0.292815222	MAP3K19	Non
ENSG00000168542	0.464923287	0.292815222	COL3A1	Non
ENSG00000138347	-0.576413924	0.292815222	MYPN	Non
ENSG00000133878	0.316458308	0.293039292	DUSP26	Non
ENSG00000173267	-0.25223965	0.293134159	SNCG	Non
ENSG00000197134	-0.445529041	0.293134159	ZNF257	Non
ENSG00000128266	0.292643249	0.293134159	GNAZ	Non
ENSG00000149823	0.537665355	0.293167197	VPS51	Non
ENSG00000087995	-0.295413184	0.293301381	METTL2A	Non
ENSG00000078328	-0.23297082	0.293436894	RBFOX1	Non
ENSG00000152078	-0.239577982	0.293545144	TLCD4	Non
ENSG00000145794	0.198198953	0.293731233	MEGF10	Non
ENSG00000140993	-0.288414099	0.293918421	TIGD7	Non
ENSG00000152242	-0.226637017	0.293918421	C18orf25	Non
ENSG00000069998	0.325271955	0.293918421	HDHD5	Non
ENSG00000186395	-0.402618032	0.293986693	KRT10	Non
ENSG00000154380	-0.194680517	0.293987107	ENAH	Non
ENSG00000137872	0.188923226	0.294048867	SEMA6D	Non
ENSG00000168748	0.649079936	0.294345387	CA7	Non
ENSG00000168137	0.18285436	0.294345682	SETD5	Non
ENSG00000188976	0.286286789	0.294401021	NOC2L	Non
ENSG00000211450	0.428677778	0.294766443	SELENOH	Non
ENSG00000064309	-0.24326606	0.294905864	CDON	Non
ENSG00000139675	-0.351550083	0.295122346	HNRNPA1L2	Non
ENSG00000198920	-0.208118011	0.295131794	KIAA0753	Non
ENSG00000135148	0.222516339	0.295387234	TRAFD1	Non
ENSG00000117640	0.324321734	0.295462411	MTFR1L	Non
ENSG00000100532	-0.268972987	0.295462411	CGRRF1	Non
ENSG00000152990	-0.242334378	0.295505591	ADGRA3	Non
ENSG00000242574	0.335535408	0.295564051	HLA-DMB	Non
ENSG00000121104	0.452448038	0.295564051	FAM117A	Non
ENSG00000125841	0.552015684	0.295564051	NRSN2	Non
ENSG00000083123	-0.218160135	0.295751465	BCKDHB	Non
ENSG00000187068	0.218762695	0.29578179	C3orf70	Non
ENSG00000180730	-0.475750403	0.29578179	SHISA2	Non
ENSG00000159905	-0.249908893	0.29578179	ZNF221	Non
ENSG00000173567	0.477871575	0.295834586	ADGRF3	Non
ENSG00000088035	-0.285915862	0.295848695	ALG6	Non
ENSG00000270885	0.519362455	0.296051918	RASL10B	Non
ENSG00000186300	-0.22925506	0.296122454	ZNF555	Non
ENSG00000176142	0.27611293	0.29615798	TMEM39A	Non
ENSG00000166261	0.280350995	0.29615798	ZNF202	Non
ENSG00000130204	0.350550388	0.29615798	TOMM40	Non
ENSG00000131015	-0.494756679	0.296313451	ULBP2	Non
ENSG00000176915	-0.193419399	0.296313451	ANKLE2	Non
ENSG00000182601	0.284080756	0.29631505	HS3ST4	Non
ENSG00000127951	0.434535138	0.296465223	FGL2	Non
ENSG00000178952	0.253905093	0.296465223	TUFM	Non
ENSG00000137672	-0.376388788	0.296468345	TRPC6	Non
ENSG00000173480	0.1993138	0.296468345	ZNF417	Non
ENSG00000172348	-0.233147593	0.296540775	RCAN2	Non
ENSG00000092850	0.520298485	0.296593669	TEKT2	Non
ENSG00000122507	-0.223802269	0.296593669	BBS9	Non
ENSG00000186318	0.17409375	0.296593669	BACE1	Non
ENSG00000184436	0.460676383	0.296593669	THAP7	Non
ENSG00000161265	0.487099217	0.297104799	U2AF1L4	Non
ENSG00000180787	-0.203131431	0.297137683	ZFP3	Non
ENSG00000172123	0.437852873	0.297242255	SLFN12	Non
ENSG00000154263	-0.291292308	0.297323076	ABCA10	Non
ENSG00000143178	0.394490907	0.297341941	TBX19	Non
ENSG00000137871	-0.274668136	0.297341941	ZNF280D	Non
ENSG00000066583	-0.274235301	0.297369145	ISOC1	Non
ENSG00000136933	-0.248885145	0.297577474	RABEPK	Non
ENSG00000188643	0.381050435	0.297769363	S100A16	Non
ENSG00000188938	-0.195429462	0.297769363	FAM120AOS	Non
ENSG00000101134	-0.280308896	0.297769363	DOK5	Non
ENSG00000185630	-0.168712583	0.297788643	PBX1	Non
ENSG00000125351	-0.30114819	0.297864918	UPF3B	Non
ENSG00000196652	-0.207262931	0.297868037	ZKSCAN5	Non
ENSG00000111412	-0.19997897	0.297909101	C12orf49	Non
ENSG00000275066	0.198701349	0.297934089	SYNRG	Non
ENSG00000166797	-0.29487596	0.298037924	CIAO2A	Non
ENSG00000124098	-0.20508988	0.298093897	FAM210B	Non
ENSG00000185668	0.59006939	0.298270712	POU3F1	Non
ENSG00000143921	0.518295431	0.298296888	ABCG8	Non
ENSG00000156515	-0.206971808	0.298296888	HK1	Non
ENSG00000197093	0.478773875	0.298515529	GAL3ST4	Non
ENSG00000171729	0.419943364	0.298543662	TMEM51	Non
ENSG00000110900	0.685838993	0.298805747	TSPAN11	Non
ENSG00000081320	-0.277161428	0.299050475	STK17B	Non
ENSG00000150401	0.256117981	0.299050475	DCUN1D2	Non
ENSG00000157349	0.278248149	0.299050475	DDX19B	Non
ENSG00000276293	-0.196369218	0.299050475	PIP4K2B	Non
ENSG00000170471	-0.185808436	0.299050475	RALGAPB	Non
ENSG00000198633	0.438137949	0.299050475	ZNF534	Non
ENSG00000100276	-0.31728184	0.299095595	RASL10A	Non
ENSG00000159579	-0.186120362	0.299274162	RSPRY1	Non
ENSG00000147394	0.37551893	0.299349177	ZNF185	Non
ENSG00000188786	0.22293659	0.299484982	MTF1	Non
ENSG00000138669	-0.314103603	0.299536647	PRKG2	Non
ENSG00000135503	0.218130528	0.299546558	ACVR1B	Non
ENSG00000108298	-0.181342233	0.299546558	RPL19	Non
ENSG00000088833	0.196830712	0.299617153	NSFL1C	Non
ENSG00000047579	-0.274757219	0.299619777	DTNBP1	Non
ENSG00000273213	0.428010829	0.299687964	H3-2	Non
ENSG00000102290	-0.431814804	0.299699384	PCDH11X	Non
ENSG00000183114	0.565243973	0.299864039	FAM43B	Non
ENSG00000162004	0.685236558	0.299976087	CCDC78	Non
ENSG00000067560	-0.168871075	0.300004518	RHOA	Non
ENSG00000080822	0.30068645	0.30016294	CLDND1	Non
ENSG00000013563	0.328147073	0.30016294	DNASE1L1	Non
ENSG00000110066	-0.233195143	0.30016294	KMT5B	Non
ENSG00000107819	0.256489725	0.30016294	SFXN3	Non
ENSG00000136379	-0.267202649	0.30016294	ABHD17C	Non
ENSG00000241973	0.204709191	0.30016294	PI4KA	Non
ENSG00000157212	0.253022133	0.300271423	PAXIP1	Non
ENSG00000172113	0.262622331	0.300355713	NME6	Non
ENSG00000070190	0.494624253	0.300410194	DAPP1	Non
ENSG00000198865	-0.37884786	0.300410194	CCDC152	Non
ENSG00000175265	0.223472402	0.300410194	GOLGA8A	Non
ENSG00000100219	0.260951722	0.300410194	XBP1	Non
ENSG00000104043	-0.260901724	0.300699961	ATP8B4	Non
ENSG00000162373	-0.293164321	0.300764473	BEND5	Non
ENSG00000163093	0.34942063	0.300945162	BBS5	Non
ENSG00000186792	0.59700879	0.300945162	HYAL3	Non
ENSG00000170624	-0.21592714	0.300945162	SGCD	Non
ENSG00000146733	0.305495482	0.300945162	PSPH	Non
ENSG00000029559	-0.564705024	0.300966887	IBSP	Non
ENSG00000164733	0.234793361	0.301405283	CTSB	Non
ENSG00000129295	-0.221630564	0.301682755	LRRC6	Non
ENSG00000142867	-0.279666248	0.301838116	BCL10	Non
ENSG00000135913	-0.205139164	0.301838116	USP37	Non
