ENSEMBL,ENTREZID,SYMBOL,GENENAME,CHR
ENSG00000189159,51155,JPT1,Jupiter microtubule associated homolog 1,17
ENSG00000102595,55757,UGGT2,UDP-glucose glycoprotein glucosyltransferase 2,13
ENSG00000165816,340706,VWA2,von Willebrand factor A domain containing 2,10
ENSG00000156463,153769,SH3RF2,SH3 domain containing ring finger 2,5
ENSG00000184194,54328,GPR173,G protein-coupled receptor 173,X
ENSG00000128708,8520,HAT1,histone acetyltransferase 1,2
ENSG00000153904,23576,DDAH1,dimethylarginine dimethylaminohydrolase 1,1
ENSG00000111181,6539,SLC6A12,solute carrier family 6 member 12,12
ENSG00000174886,126328,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,19
ENSG00000157087,491,ATP2B2,ATPase plasma membrane Ca2+ transporting 2,3
ENSG00000136271,54606,DDX56,DEAD-box helicase 56,7
ENSG00000004059,381,ARF5,ADP ribosylation factor 5,7
ENSG00000151881,64417,TMEM267,transmembrane protein 267,5
ENSG00000120457,3762,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,11
ENSG00000172366,84331,MCRIP2,MAPK regulated corepressor interacting protein 2,16
ENSG00000100285,4744,NEFH,neurofilament heavy,22
ENSG00000085449,57590,WDFY1,WD repeat and FYVE domain containing 1,2
ENSG00000101745,23253,ANKRD12,ankyrin repeat domain 12,18
ENSG00000142676,6135,RPL11,ribosomal protein L11,1
ENSG00000106348,3614,IMPDH1,inosine monophosphate dehydrogenase 1,7
ENSG00000153140,1070,CETN3,centrin 3,5
ENSG00000244687,7335,UBE2V1,ubiquitin conjugating enzyme E2 V1,20
ENSG00000102317,5935,RBM3,RNA binding motif protein 3,X
ENSG00000189227,145853,C15orf61,chromosome 15 open reading frame 61,15
ENSG00000138621,60490,PPCDC,phosphopantothenoylcysteine decarboxylase,15
ENSG00000175664,122046,TEX26,testis expressed 26,13
ENSG00000164089,64850,ETNPPL,ethanolamine-phosphate phospho-lyase,4
ENSG00000179943,84922,FIZ1,FLT3 interacting zinc finger 1,19
ENSG00000124772,57699,CPNE5,copine 5,6
ENSG00000144560,9686,VGLL4,vestigial like family member 4,3
ENSG00000170634,98,ACYP2,acylphosphatase 2,2
ENSG00000149260,726,CAPN5,calpain 5,11
ENSG00000181016,286006,LSMEM1,leucine rich single-pass membrane protein 1,7
ENSG00000156299,7074,TIAM1,TIAM Rac1 associated GEF 1,21
ENSG00000131165,5119,CHMP1A,charged multivesicular body protein 1A,16
ENSG00000198734,2153,F5,coagulation factor V,1
ENSG00000112936,730,C7,complement C7,5
ENSG00000161243,126433,FBXO27,F-box protein 27,19
ENSG00000153551,112616,CMTM7,CKLF like MARVEL transmembrane domain containing 7,3
ENSG00000124562,6631,SNRPC,small nuclear ribonucleoprotein polypeptide C,6
ENSG00000111785,55188,RIC8B,RIC8 guanine nucleotide exchange factor B,12
ENSG00000163681,7871,SLMAP,sarcolemma associated protein,3
ENSG00000115919,8942,KYNU,kynureninase,2
ENSG00000068784,55133,SRBD1,S1 RNA binding domain 1,2
ENSG00000188153,1287,COL4A5,collagen type IV alpha 5 chain,X
ENSG00000114107,80321,CEP70,centrosomal protein 70,3
ENSG00000251192,641339,ZNF674,zinc finger protein 674,X
ENSG00000135900,65080,MRPL44,mitochondrial ribosomal protein L44,2
ENSG00000171798,85442,KNDC1,kinase non-catalytic C-lobe domain containing 1,10
ENSG00000160256,85395,FAM207A,family with sequence similarity 207 member A,21
ENSG00000162836,51205,ACP6,"acid phosphatase 6, lysophosphatidic",1
ENSG00000100100,113791,PIK3IP1,phosphoinositide-3-kinase interacting protein 1,22
ENSG00000175866,10458,BAIAP2,BAR/IMD domain containing adaptor protein 2,17
ENSG00000169299,55276,PGM2,phosphoglucomutase 2,4
ENSG00000169718,64118,DUS1L,dihydrouridine synthase 1 like,17
ENSG00000144648,1238,ACKR2,atypical chemokine receptor 2,3
ENSG00000067836,79641,ROGDI,rogdi atypical leucine zipper,16
ENSG00000189067,9516,LITAF,lipopolysaccharide induced TNF factor,16
ENSG00000141401,3613,IMPA2,inositol monophosphatase 2,18
ENSG00000253276,168455,CCDC71L,coiled-coil domain containing 71 like,7
ENSG00000108582,1362,CPD,carboxypeptidase D,17
ENSG00000182504,79598,CEP97,centrosomal protein 97,3
ENSG00000106089,6804,STX1A,syntaxin 1A,7
ENSG00000243279,11230,PRAF2,PRA1 domain family member 2,X
ENSG00000144596,80852,GRIP2,glutamate receptor interacting protein 2,3
ENSG00000178467,54681,P4HTM,"prolyl 4-hydroxylase, transmembrane",3
ENSG00000144747,7110,TMF1,TATA element modulatory factor 1,3
ENSG00000158856,2039,DMTN,dematin actin binding protein,8
ENSG00000167701,2875,GPT,glutamic--pyruvic transaminase,8
ENSG00000120314,54853,WDR55,WD repeat domain 55,5
ENSG00000166478,7702,ZNF143,zinc finger protein 143,11
ENSG00000168959,2915,GRM5,glutamate metabotropic receptor 5,11
ENSG00000138166,1847,DUSP5,dual specificity phosphatase 5,10
ENSG00000082212,4200,ME2,malic enzyme 2,18
ENSG00000006534,221,ALDH3B1,aldehyde dehydrogenase 3 family member B1,11
ENSG00000103253,84264,HAGHL,hydroxyacylglutathione hydrolase like,16
ENSG00000169223,10960,LMAN2,"lectin, mannose binding 2",5
ENSG00000167733,374875,HSD11B1L,hydroxysteroid 11-beta dehydrogenase 1 like,19
ENSG00000117724,1063,CENPF,centromere protein F,1
ENSG00000116649,6723,SRM,spermidine synthase,1
ENSG00000072315,7224,TRPC5,transient receptor potential cation channel subfamily C member 5,X
ENSG00000130299,84705,GTPBP3,"GTP binding protein 3, mitochondrial",19
ENSG00000070423,55658,RNF126,ring finger protein 126,19
ENSG00000104408,3646,EIF3E,eukaryotic translation initiation factor 3 subunit E,8
ENSG00000030110,578,BAK1,BCL2 antagonist/killer 1,6
ENSG00000198642,55958,KLHL9,kelch like family member 9,9
ENSG00000148737,6934,TCF7L2,transcription factor 7 like 2,10
ENSG00000135541,54806,AHI1,Abelson helper integration site 1,6
ENSG00000138363,471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,2
ENSG00000243978,57529,RTL9,retrotransposon Gag like 9,X
ENSG00000254685,8790,FPGT,fucose-1-phosphate guanylyltransferase,1
ENSG00000051596,84321,THOC3,THO complex 3,5
ENSG00000115616,6549,SLC9A2,solute carrier family 9 member A2,2
ENSG00000139546,6895,TARBP2,TARBP2 subunit of RISC loading complex,12
ENSG00000174948,344758,GPR149,G protein-coupled receptor 149,3
ENSG00000183828,256281,NUDT14,nudix hydrolase 14,14
ENSG00000143393,5298,PI4KB,phosphatidylinositol 4-kinase beta,1
ENSG00000268182,147670,SMIM17,small integral membrane protein 17,19
ENSG00000137960,54810,GIPC2,GIPC PDZ domain containing family member 2,1
ENSG00000077279,1641,DCX,doublecortin,X
ENSG00000168944,153241,CEP120,centrosomal protein 120,5
ENSG00000153107,64682,ANAPC1,anaphase promoting complex subunit 1,2
ENSG00000146966,27147,DENND2A,DENN domain containing 2A,7
ENSG00000173153,2101,ESRRA,estrogen related receptor alpha,11
ENSG00000150893,341640,FREM2,FRAS1 related extracellular matrix 2,13
ENSG00000168301,200845,KCTD6,potassium channel tetramerization domain containing 6,3
ENSG00000087263,55239,OGFOD1,2-oxoglutarate and iron dependent oxygenase domain containing 1,16
ENSG00000247746,158880,USP51,ubiquitin specific peptidase 51,X
ENSG00000181904,134553,C5orf24,chromosome 5 open reading frame 24,5
ENSG00000175287,254295,PHYHD1,phytanoyl-CoA dioxygenase domain containing 1,9
ENSG00000101204,1137,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit,20
ENSG00000143149,223,ALDH9A1,aldehyde dehydrogenase 9 family member A1,1
ENSG00000107362,51104,ABHD17B,abhydrolase domain containing 17B,9
ENSG00000140307,2958,GTF2A2,general transcription factor IIA subunit 2,15
ENSG00000155974,23426,GRIP1,glutamate receptor interacting protein 1,12
ENSG00000183160,338773,TMEM119,transmembrane protein 119,12
ENSG00000090932,10683,DLL3,delta like canonical Notch ligand 3,19
ENSG00000100234,7078,TIMP3,TIMP metallopeptidase inhibitor 3,22
ENSG00000135686,79786,KLHL36,kelch like family member 36,16
ENSG00000172572,5139,PDE3A,phosphodiesterase 3A,12
ENSG00000165566,219287,AMER2,APC membrane recruitment protein 2,13
ENSG00000185298,339230,CCDC137,coiled-coil domain containing 137,17
ENSG00000162402,23358,USP24,ubiquitin specific peptidase 24,1
ENSG00000156697,10813,UTP14A,UTP14A small subunit processome component,X
ENSG00000148057,414328,IDNK,IDNK gluconokinase,9
ENSG00000135837,9857,CEP350,centrosomal protein 350,1
ENSG00000198682,9060,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,10
ENSG00000072786,6793,STK10,serine/threonine kinase 10,5
ENSG00000119899,26503,SLC17A5,solute carrier family 17 member 5,6
ENSG00000145386,890,CCNA2,cyclin A2,4
ENSG00000100427,23209,MLC1,modulator of VRAC current 1,22
ENSG00000197296,128486,FITM2,fat storage inducing transmembrane protein 2,20
ENSG00000165775,65991,FUNDC2,FUN14 domain containing 2,X
ENSG00000132256,85363,TRIM5,tripartite motif containing 5,11
ENSG00000173137,203054,ADCK5,aarF domain containing kinase 5,8
ENSG00000146409,116843,SLC18B1,solute carrier family 18 member B1,6
ENSG00000006016,9244,CRLF1,cytokine receptor like factor 1,19
ENSG00000099821,5442,POLRMT,RNA polymerase mitochondrial,19
ENSG00000176428,155382,VPS37D,VPS37D subunit of ESCRT-I,7
ENSG00000074803,6557,SLC12A1,solute carrier family 12 member 1,15
ENSG00000166233,25820,ARIH1,ariadne RBR E3 ubiquitin protein ligase 1,15
ENSG00000111011,65117,RSRC2,arginine and serine rich coiled-coil 2,12
ENSG00000145526,1016,CDH18,cadherin 18,5
ENSG00000151150,288,ANK3,ankyrin 3,10
ENSG00000105270,25999,CLIP3,CAP-Gly domain containing linker protein 3,19
ENSG00000135842,116496,NIBAN1,niban apoptosis regulator 1,1
ENSG00000063046,1975,EIF4B,eukaryotic translation initiation factor 4B,12
ENSG00000164972,84688,C9orf24,chromosome 9 open reading frame 24,9
ENSG00000070087,5217,PFN2,profilin 2,3
ENSG00000074582,617,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",2
ENSG00000262209,56102,PCDHGB3,"protocadherin gamma subfamily B, 3",5
ENSG00000108797,8506,CNTNAP1,contactin associated protein 1,17
ENSG00000005882,5164,PDK2,pyruvate dehydrogenase kinase 2,17
ENSG00000166816,197257,LDHD,lactate dehydrogenase D,16
ENSG00000142186,57410,SCYL1,SCY1 like pseudokinase 1,11
ENSG00000168495,661,POLR3D,RNA polymerase III subunit D,8
ENSG00000132356,5562,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,5
ENSG00000225921,51406,NOL7,nucleolar protein 7,6
ENSG00000169031,1285,COL4A3,collagen type IV alpha 3 chain,2
ENSG00000198729,81706,PPP1R14C,protein phosphatase 1 regulatory inhibitor subunit 14C,6
ENSG00000100319,55954,ZMAT5,zinc finger matrin-type 5,22
ENSG00000170485,4862,NPAS2,neuronal PAS domain protein 2,2
ENSG00000167674,84717,HDGFL2,HDGF like 2,19
ENSG00000166971,64400,AKTIP,AKT interacting protein,16
ENSG00000187134,1645,AKR1C1,aldo-keto reductase family 1 member C1,10
ENSG00000167113,51117,COQ4,coenzyme Q4,9
ENSG00000188352,54914,FOCAD,focadhesin,9
ENSG00000101266,1457,CSNK2A1,casein kinase 2 alpha 1,20
ENSG00000135916,81618,ITM2C,integral membrane protein 2C,2
ENSG00000180228,8575,PRKRA,protein activator of interferon induced protein kinase EIF2AK2,2
ENSG00000110013,54414,SIAE,sialic acid acetylesterase,11
ENSG00000235272,NA,NA,NA,NA
ENSG00000162512,9672,SDC3,syndecan 3,1
ENSG00000106628,5425,POLD2,"DNA polymerase delta 2, accessory subunit",7
ENSG00000232119,28985,MCTS1,MCTS1 re-initiation and release factor,X
ENSG00000129757,1028,CDKN1C,cyclin dependent kinase inhibitor 1C,11
ENSG00000039650,11284,PNKP,polynucleotide kinase 3'-phosphatase,19
ENSG00000142082,23410,SIRT3,sirtuin 3,11
ENSG00000161547,6427,SRSF2,serine and arginine rich splicing factor 2,17
ENSG00000066468,2263,FGFR2,fibroblast growth factor receptor 2,10
ENSG00000159259,8208,CHAF1B,chromatin assembly factor 1 subunit B,21
ENSG00000113448,5144,PDE4D,phosphodiesterase 4D,5
ENSG00000070388,27006,FGF22,fibroblast growth factor 22,19
ENSG00000105364,51073,MRPL4,mitochondrial ribosomal protein L4,19
ENSG00000112763,11120,BTN2A1,butyrophilin subfamily 2 member A1,6
ENSG00000204304,5089,PBX2,PBX homeobox 2,6
ENSG00000179715,91523,PCED1B,PC-esterase domain containing 1B,12
ENSG00000064652,28966,SNX24,sorting nexin 24,5
ENSG00000186660,80829,ZFP91,ZFP91 zinc finger protein,11
ENSG00000184185,3768,KCNJ12,potassium inwardly rectifying channel subfamily J member 12,17
ENSG00000078237,57103,TIGAR,TP53 induced glycolysis regulatory phosphatase,12
ENSG00000166860,9880,ZBTB39,zinc finger and BTB domain containing 39,12
ENSG00000203499,100128338,FAM83H-AS1,FAM83H antisense RNA 1 (head to head),8
ENSG00000008018,5689,PSMB1,proteasome 20S subunit beta 1,6
ENSG00000183682,353500,BMP8A,bone morphogenetic protein 8a,1
ENSG00000171488,84230,LRRC8C,leucine rich repeat containing 8 VRAC subunit C,1
ENSG00000173141,78988,MRPL57,mitochondrial ribosomal protein L57,13
ENSG00000108591,1819,DRG2,developmentally regulated GTP binding protein 2,17
ENSG00000102738,10240,MRPS31,mitochondrial ribosomal protein S31,13
ENSG00000139370,121260,SLC15A4,solute carrier family 15 member 4,12
ENSG00000122952,11130,ZWINT,ZW10 interacting kinetochore protein,10
ENSG00000119965,80007,C10orf88,chromosome 10 open reading frame 88,10
ENSG00000135766,54583,EGLN1,egl-9 family hypoxia inducible factor 1,1
ENSG00000120925,81790,RNF170,ring finger protein 170,8
ENSG00000023318,23071,ERP44,endoplasmic reticulum protein 44,9
ENSG00000167107,80221,ACSF2,acyl-CoA synthetase family member 2,17
ENSG00000170776,11214,AKAP13,A-kinase anchoring protein 13,15
ENSG00000135248,84691,FAM71F1,family with sequence similarity 71 member F1,7
ENSG00000181019,1728,NQO1,NAD(P)H quinone dehydrogenase 1,16
ENSG00000104983,729440,CCDC61,coiled-coil domain containing 61,19
ENSG00000111335,4939,OAS2,2'-5'-oligoadenylate synthetase 2,12
ENSG00000173214,91749,MFSD4B,major facilitator superfamily domain containing 4B,6
ENSG00000153885,79047,KCTD15,potassium channel tetramerization domain containing 15,19
ENSG00000117152,5999,RGS4,regulator of G protein signaling 4,1
ENSG00000171222,51282,SCAND1,SCAN domain containing 1,20
ENSG00000155849,9844,ELMO1,engulfment and cell motility 1,7
ENSG00000135678,1368,CPM,carboxypeptidase M,12
ENSG00000189171,6284,S100A13,S100 calcium binding protein A13,1
ENSG00000146282,57038,RARS2,"arginyl-tRNA synthetase 2, mitochondrial",6
ENSG00000160877,112939,NACC1,nucleus accumbens associated 1,19
ENSG00000163006,165055,CCDC138,coiled-coil domain containing 138,2
ENSG00000186130,10773,ZBTB6,zinc finger and BTB domain containing 6,9
ENSG00000114739,93,ACVR2B,activin A receptor type 2B,3
ENSG00000113580,2908,NR3C1,nuclear receptor subfamily 3 group C member 1,5
ENSG00000127220,79575,ABHD8,abhydrolase domain containing 8,19
ENSG00000161618,126133,ALDH16A1,aldehyde dehydrogenase 16 family member A1,19
ENSG00000277203,8263,F8A1,coagulation factor VIII associated 1,X
ENSG00000130511,170463,SSBP4,single stranded DNA binding protein 4,19
ENSG00000139131,51067,YARS2,tyrosyl-tRNA synthetase 2,12
ENSG00000108021,54906,TASOR2,transcription activation suppressor family member 2,10
ENSG00000115942,4999,ORC2,origin recognition complex subunit 2,2
ENSG00000146802,64418,TMEM168,transmembrane protein 168,7
ENSG00000092140,55632,G2E3,G2/M-phase specific E3 ubiquitin protein ligase,14
ENSG00000175324,27257,LSM1,"LSM1 homolog, mRNA degradation associated",8
ENSG00000129151,8424,BBOX1,gamma-butyrobetaine hydroxylase 1,11
ENSG00000185519,348487,FAM131C,family with sequence similarity 131 member C,1
ENSG00000100263,25807,RHBDD3,rhomboid domain containing 3,22
ENSG00000100151,9463,PICK1,protein interacting with PRKCA 1,22
ENSG00000124507,29993,PACSIN1,protein kinase C and casein kinase substrate in neurons 1,6
ENSG00000133302,84250,SLF1,SMC5-SMC6 complex localization factor 1,5
ENSG00000162694,2135,EXTL2,exostosin like glycosyltransferase 2,1
ENSG00000167614,57348,TTYH1,tweety family member 1,19
ENSG00000101966,331,XIAP,X-linked inhibitor of apoptosis,X
ENSG00000101624,79959,CEP76,centrosomal protein 76,18
ENSG00000164466,94081,SFXN1,sideroflexin 1,5
ENSG00000145332,57563,KLHL8,kelch like family member 8,4
ENSG00000114331,23527,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",3
ENSG00000118733,118427,OLFM3,olfactomedin 3,1
ENSG00000179292,256472,TMEM151A,transmembrane protein 151A,11
ENSG00000124788,6310,ATXN1,ataxin 1,6
ENSG00000153993,223117,SEMA3D,semaphorin 3D,7
ENSG00000104814,11184,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,19
ENSG00000197217,9583,ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4,8
ENSG00000182899,6165,RPL35A,ribosomal protein L35a,3
ENSG00000076662,3385,ICAM3,intercellular adhesion molecule 3,19
ENSG00000126500,23769,FLRT1,fibronectin leucine rich transmembrane protein 1,11
ENSG00000265107,2702,GJA5,gap junction protein alpha 5,1
ENSG00000243147,9553,MRPL33,mitochondrial ribosomal protein L33,2
ENSG00000159713,51673,TPPP3,tubulin polymerization promoting protein family member 3,16
ENSG00000064490,8625,RFXANK,regulatory factor X associated ankyrin containing protein,19
ENSG00000087076,51171,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14,19
ENSG00000225663,348262,MCRIP1,MAPK regulated corepressor interacting protein 1,17
ENSG00000137207,25844,YIPF3,Yip1 domain family member 3,6
ENSG00000203667,116228,COX20,cytochrome c oxidase assembly factor COX20,1
ENSG00000113456,5810,RAD1,RAD1 checkpoint DNA exonuclease,5
ENSG00000100302,23551,RASD2,RASD family member 2,22
ENSG00000250565,90423,ATP6V1E2,ATPase H+ transporting V1 subunit E2,2
ENSG00000138495,10063,COX17,cytochrome c oxidase copper chaperone COX17,3
ENSG00000141497,84225,ZMYND15,zinc finger MYND-type containing 15,17
ENSG00000103066,23659,PLA2G15,phospholipase A2 group XV,16
ENSG00000123901,10888,GPR83,G protein-coupled receptor 83,11
ENSG00000139343,6636,SNRPF,small nuclear ribonucleoprotein polypeptide F,12
ENSG00000001460,90529,STPG1,sperm tail PG-rich repeat containing 1,1
ENSG00000153234,4929,NR4A2,nuclear receptor subfamily 4 group A member 2,2
ENSG00000165704,3251,HPRT1,hypoxanthine phosphoribosyltransferase 1,X
ENSG00000173166,65059,RAPH1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,2
ENSG00000155368,1622,DBI,"diazepam binding inhibitor, acyl-CoA binding protein",2
ENSG00000155868,9443,MED7,mediator complex subunit 7,5
ENSG00000174738,9975,NR1D2,nuclear receptor subfamily 1 group D member 2,3
ENSG00000168661,90075,ZNF30,zinc finger protein 30,19
ENSG00000135919,5270,SERPINE2,serpin family E member 2,2
ENSG00000169330,23251,MINAR1,membrane integral NOTCH2 associated receptor 1,15
ENSG00000092036,54930,HAUS4,HAUS augmin like complex subunit 4,14
ENSG00000073417,5151,PDE8A,phosphodiesterase 8A,15
ENSG00000166451,55839,CENPN,centromere protein N,16
ENSG00000155287,81894,SLC25A28,solute carrier family 25 member 28,10
ENSG00000103657,8925,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,15
ENSG00000198208,83694,RPS6KL1,ribosomal protein S6 kinase like 1,14
ENSG00000124104,90203,SNX21,sorting nexin family member 21,20
ENSG00000213760,534,ATP6V1G2,ATPase H+ transporting V1 subunit G2,6
ENSG00000118482,23469,PHF3,PHD finger protein 3,6
ENSG00000115750,9014,TAF1B,"TATA-box binding protein associated factor, RNA polymerase I subunit B",2
ENSG00000101400,6640,SNTA1,syntrophin alpha 1,20
ENSG00000174808,685,BTC,betacellulin,4
ENSG00000134070,3656,IRAK2,interleukin 1 receptor associated kinase 2,3
ENSG00000146872,11011,TLK2,tousled like kinase 2,17
ENSG00000171962,83450,DRC3,dynein regulatory complex subunit 3,17
ENSG00000166428,122618,PLD4,phospholipase D family member 4,14
ENSG00000136930,5695,PSMB7,proteasome 20S subunit beta 7,9
ENSG00000084734,2646,GCKR,glucokinase regulator,2
ENSG00000143294,5546,PRCC,proline rich mitotic checkpoint control factor,1
ENSG00000189060,3005,H1-0,H1.0 linker histone,22
ENSG00000197016,388566,ZNF470,zinc finger protein 470,19
ENSG00000259571,414899,BLID,"BH3-like motif containing, cell death inducer",11
ENSG00000162390,26027,ACOT11,acyl-CoA thioesterase 11,1
ENSG00000226321,728763,CROCC2,"ciliary rootlet coiled-coil, rootletin family member 2",2
ENSG00000118922,11278,KLF12,Kruppel like factor 12,13
ENSG00000116151,79906,MORN1,MORN repeat containing 1,1
ENSG00000129003,54832,VPS13C,vacuolar protein sorting 13 homolog C,15
ENSG00000169508,1880,GPR183,G protein-coupled receptor 183,13
ENSG00000128253,10739,RFPL2,ret finger protein like 2,22
ENSG00000215271,57594,HOMEZ,homeobox and leucine zipper encoding,14
ENSG00000151948,144423,GLT1D1,glycosyltransferase 1 domain containing 1,12
ENSG00000119121,140803,TRPM6,transient receptor potential cation channel subfamily M member 6,9
ENSG00000186105,100130733,LRRC70,leucine rich repeat containing 70,5
ENSG00000104299,55756,INTS9,integrator complex subunit 9,8
ENSG00000184451,2826,CCR10,C-C motif chemokine receptor 10,17
ENSG00000197043,309,ANXA6,annexin A6,5
ENSG00000153064,55024,BANK1,B cell scaffold protein with ankyrin repeats 1,4
ENSG00000136146,29079,MED4,mediator complex subunit 4,13
ENSG00000150782,3606,IL18,interleukin 18,11
ENSG00000065911,10797,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",2
ENSG00000256771,56242,ZNF253,zinc finger protein 253,19
ENSG00000084234,334,APLP2,amyloid beta precursor like protein 2,11
ENSG00000128849,84952,CGNL1,cingulin like 1,15
ENSG00000161791,91010,FMNL3,formin like 3,12
ENSG00000102081,2332,FMR1,FMRP translational regulator 1,X
ENSG00000113805,5067,CNTN3,contactin 3,3
ENSG00000134278,56907,SPIRE1,spire type actin nucleation factor 1,18
ENSG00000271447,79148,MMP28,matrix metallopeptidase 28,17
ENSG00000120820,83468,GLT8D2,glycosyltransferase 8 domain containing 2,12
ENSG00000152763,79819,WDR78,WD repeat domain 78,1
ENSG00000067177,5255,PHKA1,phosphorylase kinase regulatory subunit alpha 1,X
ENSG00000243477,24142,NAA80,"N(alpha)-acetyltransferase 80, NatH catalytic subunit",3
ENSG00000173706,57493,HEG1,heart development protein with EGF like domains 1,3
ENSG00000168081,5368,PNOC,prepronociceptin,8
ENSG00000159023,2035,EPB41,erythrocyte membrane protein band 4.1,1
ENSG00000185869,374899,ZNF829,zinc finger protein 829,19
ENSG00000151572,121601,ANO4,anoctamin 4,12
ENSG00000109084,27346,TMEM97,transmembrane protein 97,17
ENSG00000100987,30813,VSX1,visual system homeobox 1,20
ENSG00000173868,162466,PHOSPHO1,phosphoethanolamine/phosphocholine phosphatase 1,17
ENSG00000266094,83593,RASSF5,Ras association domain family member 5,1
ENSG00000091542,54890,ALKBH5,"alkB homolog 5, RNA demethylase",17
ENSG00000143107,163479,FNDC7,fibronectin type III domain containing 7,1
ENSG00000172819,5916,RARG,retinoic acid receptor gamma,12
ENSG00000169446,93380,MMGT1,membrane magnesium transporter 1,X
ENSG00000056586,54542,RC3H2,ring finger and CCCH-type domains 2,9
ENSG00000115421,64895,PAPOLG,poly(A) polymerase gamma,2
ENSG00000168497,8436,CAVIN2,caveolae associated protein 2,2
ENSG00000186471,158798,AKAP14,A-kinase anchoring protein 14,X
ENSG00000284713,107984345,SMIM38,small integral membrane protein 38,11
ENSG00000143437,405,ARNT,aryl hydrocarbon receptor nuclear translocator,1
ENSG00000078177,55728,N4BP2,NEDD4 binding protein 2,4
ENSG00000171928,51030,TVP23B,trans-golgi network vesicle protein 23 homolog B,17
ENSG00000115875,6432,SRSF7,serine and arginine rich splicing factor 7,2
ENSG00000100056,8220,ESS2,ess-2 splicing factor homolog,22
ENSG00000130349,51250,MTRES1,mitochondrial transcription rescue factor 1,6
ENSG00000164404,2661,GDF9,growth differentiation factor 9,5
ENSG00000122482,84146,ZNF644,zinc finger protein 644,1
ENSG00000084463,51729,WBP11,WW domain binding protein 11,12
ENSG00000182318,342945,ZSCAN22,zinc finger and SCAN domain containing 22,19
ENSG00000204161,170371,TMEM273,transmembrane protein 273,10
ENSG00000183423,345193,LRIT3,"leucine rich repeat, Ig-like and transmembrane domains 3",4
ENSG00000077721,7319,UBE2A,ubiquitin conjugating enzyme E2 A,X
ENSG00000072163,55679,LIMS2,LIM zinc finger domain containing 2,2
ENSG00000198157,79366,HMGN5,high mobility group nucleosome binding domain 5,X
ENSG00000077312,6626,SNRPA,small nuclear ribonucleoprotein polypeptide A,19
ENSG00000286190,728392,LOC728392,uncharacterized LOC728392,17
ENSG00000104756,54793,KCTD9,potassium channel tetramerization domain containing 9,8
ENSG00000206527,201562,HACD2,3-hydroxyacyl-CoA dehydratase 2,3
ENSG00000213339,81890,QTRT1,queuine tRNA-ribosyltransferase catalytic subunit 1,19
ENSG00000136378,11173,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7,15
ENSG00000118046,6794,STK11,serine/threonine kinase 11,19
ENSG00000178691,23512,SUZ12,SUZ12 polycomb repressive complex 2 subunit,17
ENSG00000205356,25851,TECPR1,tectonin beta-propeller repeat containing 1,7
ENSG00000100028,6634,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide,22
ENSG00000102524,10673,TNFSF13B,TNF superfamily member 13b,13
ENSG00000130758,4294,MAP3K10,mitogen-activated protein kinase kinase kinase 10,19
ENSG00000185379,5892,RAD51D,RAD51 paralog D,17
ENSG00000145808,171019,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,5
ENSG00000154710,27342,RABGEF1,RAB guanine nucleotide exchange factor 1,7
ENSG00000187860,550631,CCDC157,coiled-coil domain containing 157,22
ENSG00000103043,55697,VAC14,VAC14 component of PIKFYVE complex,16
ENSG00000172893,1717,DHCR7,7-dehydrocholesterol reductase,11
ENSG00000114541,23150,FRMD4B,FERM domain containing 4B,3
ENSG00000122484,79871,RPAP2,RNA polymerase II associated protein 2,1
ENSG00000196290,60491,NIF3L1,NGG1 interacting factor 3 like 1,2
ENSG00000172889,51162,EGFL7,EGF like domain multiple 7,9
ENSG00000124789,9972,NUP153,nucleoporin 153,6
ENSG00000125148,4502,MT2A,metallothionein 2A,16
ENSG00000129472,84932,RAB2B,"RAB2B, member RAS oncogene family",14
ENSG00000149571,84623,KIRREL3,kirre like nephrin family adhesion molecule 3,11
ENSG00000117154,84966,IGSF21,immunoglobin superfamily member 21,1
ENSG00000150456,221143,EEF1AKMT1,EEF1A lysine methyltransferase 1,13
ENSG00000101438,140679,SLC32A1,solute carrier family 32 member 1,20
ENSG00000115232,3676,ITGA4,integrin subunit alpha 4,2
ENSG00000185730,79943,ZNF696,zinc finger protein 696,8
ENSG00000170075,9283,GPR37L1,G protein-coupled receptor 37 like 1,1
ENSG00000153404,153478,PLEKHG4B,pleckstrin homology and RhoGEF domain containing G4B,5
